date,customer,type,amount,status
09/01/2021,abc0@gmail.com,SELL,97.59,PENDING
09/01/2021,def01@gmail.com,SELL,53.95,PENDING
09/01/2021,abc0@gmail.com,BUY,6.48,CANCELED
16/01/2021,abc0@gmail.com,SELL,72.67,PENDING
15/01/2021,ghi78@yahoo.com,BUY,93.29,CANCELED
24/01/2021,ghi78@yahoo.com,SELL,53.19,COMPLETED
23/02/2021,abc0@gmail.com,BUY,50.93,PENDING
30/01/2021,ghi78@yahoo.com,SELL,56.73,PENDING
28/01/2021,jkl57@gmail.com,SELL,40.24,CANCELED
10/01/2021,jkl57@gmail.com,SELL,69.35,PENDING
16/02/2021,abc0@gmail.com,BUY,3.37,COMPLETED
22/01/2021,abc0@gmail.com,SELL,15.46,PENDING
23/02/2021,ghi78@yahoo.com,BUY,90.16,PENDING
22/01/2021,abc0@gmail.com,SELL,53.56,PENDING
19/01/2021,abc0@gmail.com,BUY,6.48,CANCELED
07/01/2021,mno36@gmail.com,SELL,72.67,COMPLETED
11/01/2021,ghi78@yahoo.com,BUY,93.29,PENDING
03/01/2021,jkl57@gmail.com,SELL,53.19,COMPLETED
28/02/2021,ghi78@yahoo.com,BUY,50.93,PENDING
09/01/2021,jkl57@gmail.com,SELL,72.67,PENDING
09/01/2021,abc0@gmail.com,BUY,93.29,PENDING
09/01/2021,def01@gmail.com,BUY,53.19,PENDING
09/01/2021,abc0@gmail.com,SELL,50.93,CANCELED
16/01/2021,ghi78@yahoo.com,BUY,72.67,PENDING
15/01/2021,ghi78@yahoo.com,SELL,93.29,COMPLETED
24/01/2021,abc0@gmail.com,BUY,53.19,PENDING
23/02/2021,ghi78@yahoo.com,BUY,50.93,PENDING
30/01/2021,ghi78@yahoo.com,BUY,56.73,PENDING
28/01/2021,jkl57@gmail.com,SELL,40.24,CANCELED
10/01/2021,jkl57@gmail.com,BUY,72.67,PENDING
16/02/2021,abc0@gmail.com,SELL,93.29,PENDING
22/01/2021,abc0@gmail.com,BUY,53.19,CANCELED
23/02/2021,ghi78@yahoo.com,SELL,50.93,PENDING
22/01/2021,abc0@gmail.com,SELL,53.56,COMPLETED
19/01/2021,ghi78@yahoo.com,BUY,6.48,PENDING
07/01/2021,ghi78@yahoo.com,SELL,72.67,PENDING
11/01/2021,abc0@gmail.com,SELL,93.29,PENDING
03/01/2021,ghi78@yahoo.com,SELL,53.19,COMPLETED
28/02/2021,ghi78@yahoo.com,BUY,50.93,PENDING
09/01/2021,jkl57@gmail.com,SELL,5.15,PENDING
